event,event_time
OFA | OFA | OFA | OFA | OFA,2019-01-01 16:08:00 | 2019-01-01 16:08:18 | 2019-01-01 16:08:39 | 2019-01-01 16:09:09 | 2019-01-01 16:09:26
OFA | OFA | OFA | OFA | OFA,2019-01-02 16:00:41 | 2019-01-02 16:01:12 | 2019-01-02 16:01:42 | 2019-01-02 16:02:12 | 2019-01-02 16:03:10
OFA | OFA | OFA | OFA | OFA | OFA,2019-01-03 15:37:16 | 2019-01-03 15:37:32 | 2019-01-03 15:37:49 | 2019-01-03 15:38:19 | 2019-01-03 15:38:38 | 2019-01-03 15:39:07
CGO | OFA=CGO | CGO | CGO,2019-01-04 16:03:19 | 2019-01-04 16:03:19 | 2019-01-04 16:03:35 | 2019-01-04 16:03:51
OFA | OFA | OFA | OFA | OFA,2019-01-05 16:08:18 | 2019-01-05 16:08:34 | 2019-01-05 16:08:50 | 2019-01-05 16:09:20 | 2019-01-05 16:09:50
OFA | OFA | OFA | OFA,2019-01-06 15:51:54 | 2019-01-06 15:52:24 | 2019-01-06 15:52:42 | 2019-01-06 15:53:12
OFA | OFA | OFA | OFA | OFA,2019-01-07 15:38:51 | 2019-01-07 15:39:21 | 2019-01-07 15:39:52 | 2019-01-07 15:40:22 | 2019-01-07 15:40:39
OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-01-08 16:03:26 | 2019-01-08 16:04:03 | 2019-01-08 16:04:20 | 2019-01-08 16:04:37 | 2019-01-08 16:04:55 | 2019-01-08 16:05:12 | 2019-01-08 16:05:50
OFA | OFA | OFA,2019-01-09 15:56:04 | 2019-01-09 15:56:34 | 2019-01-09 15:57:04
HAA | OFA=HAA | HAA | HAA | HAA | HAA=CGO | CGO | HAA | CGO | CGO,2019-01-10 16:10:34 | 2019-01-10 16:10:34 | 2019-01-10 16:10:50 | 2019-01-10 16:11:17 | 2019-01-10 16:11:42 | 2019-01-10 16:12:00 | 2019-01-10 16:12:00 | 2019-01-10 16:12:00 | 2019-01-10 16:12:20 | 2019-01-10 16:12:36
OFA | OFA | OFA,2019-01-11 15:55:25 | 2019-01-11 15:55:56 | 2019-01-11 15:56:26
OFA | OFA | OFA | OFA | OFA | OFA,2019-01-12 15:49:11 | 2019-01-12 15:49:41 | 2019-01-12 15:50:11 | 2019-01-12 15:50:27 | 2019-01-12 15:50:57 | 2019-01-12 15:52:04
OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-01-13 15:36:56 | 2019-01-13 15:37:12 | 2019-01-13 15:37:45 | 2019-01-13 15:38:01 | 2019-01-13 15:38:17 | 2019-01-13 15:38:34 | 2019-01-13 15:38:50
CGO | OFA=CGO,2019-01-14 15:39:22 | 2019-01-14 15:39:22
OFA | OFA | OFA | OFA | OFA,2019-01-15 16:06:12 | 2019-01-15 16:06:43 | 2019-01-15 16:07:13 | 2019-01-15 16:07:45 | 2019-01-15 16:08:01
OFA | OFA | OFA | OFA | OFA | OFA,2019-01-16 16:03:27 | 2019-01-16 16:03:43 | 2019-01-16 16:03:59 | 2019-01-16 16:04:29 | 2019-01-16 16:05:04 | 2019-01-16 16:05:29
OFA | OFA | OFA | OFA | OFA | OFA,2019-01-17 16:30:25 | 2019-01-17 16:30:55 | 2019-01-17 16:31:25 | 2019-01-17 16:31:43 | 2019-01-17 16:32:00 | 2019-01-17 16:32:17
OFA | OFA | OFA | OFA | OFA,2019-01-18 15:56:40 | 2019-01-18 15:57:10 | 2019-01-18 15:57:41 | 2019-01-18 15:58:11 | 2019-01-18 15:58:29
HAA | OFA=HAA | HAA | HAA | CGO | CGO,2019-01-19 15:51:22 | 2019-01-19 15:51:22 | 2019-01-19 15:51:41 | 2019-01-19 15:52:11 | 2019-01-19 15:52:31 | 2019-01-19 15:52:47
OFA | OFA | OFA | OFA | OFA,2019-01-20 16:22:30 | 2019-01-20 16:23:03 | 2019-01-20 16:23:33 | 2019-01-20 16:24:06 | 2019-01-20 16:24:29
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-01-21 16:18:03 | 2019-01-21 16:18:20 | 2019-01-21 16:18:50 | 2019-01-21 16:19:07 | 2019-01-21 16:19:23 | 2019-01-21 16:19:41 | 2019-01-21 16:19:57 | 2019-01-21 16:20:17
OFA | OFA | OFA | OFA,2019-01-22 15:32:26 | 2019-01-22 15:32:42 | 2019-01-22 15:33:12 | 2019-01-22 15:33:28
OFA | OFA | OFA | OFA | OFA,2019-01-23 15:59:14 | 2019-01-23 15:59:44 | 2019-01-23 16:00:14 | 2019-01-23 16:00:44 | 2019-01-23 16:01:21
OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-01-24 15:42:28 | 2019-01-24 15:42:54 | 2019-01-24 15:43:25 | 2019-01-24 15:43:41 | 2019-01-24 15:43:57 | 2019-01-24 15:45:00 | 2019-01-24 15:45:21
OFA | OFA | OFA | OFA | OFA,2019-01-25 15:52:13 | 2019-01-25 15:52:43 | 2019-01-25 15:53:13 | 2019-01-25 15:53:48 | 2019-01-25 15:54:04
HAA | OFA=HAA | HAA | CGO | OFA=CGO | CGO | CGO,2019-01-26 15:36:17 | 2019-01-26 15:36:17 | 2019-01-26 15:36:47 | 2019-01-26 15:37:56 | 2019-01-26 15:37:56 | 2019-01-26 15:38:12 | 2019-01-26 15:38:28
CGO | OFA=CGO | CGO | CGO,2019-01-27 15:59:21 | 2019-01-27 15:59:21 | 2019-01-27 15:59:41 | 2019-01-27 15:59:57
HAA | OFA=HAA | HAA | HAA | HAA | HAA | HAA | HAA,2019-01-28 16:08:27 | 2019-01-28 16:08:27 | 2019-01-28 16:08:44 | 2019-01-28 16:09:14 | 2019-01-28 16:09:30 | 2019-01-28 16:10:02 | 2019-01-28 16:10:18 | 2019-01-28 16:10:49
HAA | OFA=HAA | HAA | HAA | HAA | CGO | OFA=CGO,2019-01-29 16:05:36 | 2019-01-29 16:05:36 | 2019-01-29 16:05:54 | 2019-01-29 16:06:40 | 2019-01-29 16:07:15 | 2019-01-29 16:07:51 | 2019-01-29 16:07:51
HAA | OFA=HAA | HAA | HAA | CGO | CGO,2019-01-30 16:12:37 | 2019-01-30 16:12:37 | 2019-01-30 16:13:07 | 2019-01-30 16:13:23 | 2019-01-30 16:13:53 | 2019-01-30 16:14:11
